iter	Passed	Remaining
594	54441	37056
595	54544	36973
596	54644	36887
597	54730	36791
598	54851	36720
599	54958	36639
600	55055	36550
601	55146	36458
602	55256	36379
603	55356	36293
604	55461	36210
605	55560	36123
606	55649	36029
607	55747	35942
608	55837	35849
609	55941	35765
610	56067	35695
611	56168	35610
612	56287	35535
613	56382	35445
614	56489	35363
615	56592	35278
616	56681	35185
617	56782	35098
618	56869	35003
619	56968	34916
620	57053	34820
621	57148	34729
622	57262	34651
623	57348	34556
624	57455	34473
625	57552	34384
626	57651	34296
627	57743	34204
628	57850	34121
629	57952	34035
630	58046	33945
631	58162	33867
632	58252	33773
633	58363	33692
634	58479	33614
635	58612	33545
636	58719	33462
637	58846	33389
638	58932	33293
639	59017	33197
640	59110	33105
641	59215	33020
642	59317	32933
643	59372	32820
644	59496	32746
645	59583	32651
646	59685	32563
647	59771	32468
648	59868	32379
649	59971	32292
650	60052	32193
651	60143	32101
652	60237	32009
653	60340	31923
654	60382	31804
655	60510	31731
656	60622	31649
657	60750	31575
658	60857	31490
659	60949	31397
660	61065	31318
661	61177	31235
662	61286	31151
663	61376	31057
